Time,RawValue1,RawValue2
2769.8082788,416,5264
2769.80980825,400,5264
2769.811332477,432,5264
2769.812859242,432,5264
2769.814385154,448,5264
2769.815917844,416,5280
2769.817445572,448,5280
2769.818974928,416,5264
2769.820501082,400,5264
2769.822029476,416,5264
2769.823555369,432,5264
2769.825103115,416,5264
2769.826631676,416,5280
2769.828163977,432,5280
2769.829697945,416,5280
2769.831224784,464,5264
2769.832752715,416,5280
2769.834281516,432,5264
2769.835809151,416,5280
2769.837336804,416,5264
2769.838862735,416,5264
2769.840391833,432,5264
2769.841917856,432,5280
2769.843468398,416,5280
2769.845005366,416,5264
2769.846534538,416,5280
2769.848062617,400,5248
2769.84960877,384,5264
2769.851144368,400,5264
2769.852666818,416,5264
2769.854196674,416,5264
2769.855726402,400,5232
2769.857255703,416,5264
2769.858783227,416,5264
2769.86031075,384,5248
2769.861848681,416,5248
2769.863376871,416,5232
2769.86490571,432,5232
2769.866432196,400,5264
2769.867959979,416,5232
2769.869485688,400,5248
2769.871011082,416,5248
2769.872541939,400,5280
2769.874070722,416,5280
2769.875600523,400,5248
2769.87712975,384,5248
2769.878653329,416,5232
2769.880181631,400,5248
2769.881707432,416,5248
2769.883235789,384,5232
2769.88477272,400,5248
2769.88630204,448,5280
2769.8878266,432,5232
2769.889354217,400,5248
2769.890877833,384,5232
2769.892405079,400,5248
2769.893933713,416,5264
2769.895460644,416,5264
2769.89698952,416,5280
2769.898549654,416,5280
2769.900079141,432,5280
2769.901605683,448,5280
2769.903132707,432,5280
2769.904666471,416,5280
2769.906192383,448,5280
2769.907717555,416,5264
2769.909245505,416,5264
2769.910771158,400,5264
2769.912295644,432,5264
2769.913824223,416,5264
2769.915350654,400,5264
2769.916881067,416,5296
2769.91840672,416,5280
2769.919932114,432,5248
2769.921456156,416,5264
2769.922984476,416,5264
2769.924514407,416,5264
2769.92604393,400,5264
2769.927573102,416,5280
2769.929098441,416,5280
2769.930625983,416,5280
2769.932156006,448,5280
2769.933693011,432,5264
2769.935219757,416,5280
2769.936743892,432,5264
2769.938269119,432,5280
2769.939794124,432,5280
2769.941320314,416,5264
2769.942909468,416,5280
2769.944466547,416,5280
2769.946005422,432,5280
2769.947532798,416,5280
2769.949090747,384,5232
2769.950624827,416,5264
2769.952152961,416,5280
2769.953680948,384,5232
2769.955203323,368,5232
2769.956723384,400,5248
2769.958245389,432,5232
2769.95977419,400,5248
2769.961298269,400,5264
2769.962843885,416,5232
2769.964369853,368,5264
2769.965894673,432,5248
2769.967417623,368,5264
2769.968945943,400,5264
2769.970473411,400,5232
2769.971998675,384,5280
2769.973529384,432,5248
2769.975054333,432,5248
2769.976578264,432,5264
2769.97810138,400,5232
2769.979623922,384,5248
2769.981157427,416,5264
2769.982680155,432,5248
2769.98420203,400,5248
2769.98572622,400,5264
2769.987248503,416,5264
2769.988774267,384,5232
2769.990299717,400,5232
2769.991834296,384,5232
2769.993359097,416,5264
2769.99488038,432,5264
2769.996400848,416,5280
2769.997923464,416,5280
2769.99946234,416,5264
2770.000987382,416,5280
2770.002521924,448,5280
2770.004046373,432,5280
2770.00556986,416,5280
2770.007092476,416,5280
2770.008620463,416,5264
2770.010144782,416,5280
2770.011671269,432,5264
2770.013198404,416,5264
2770.014724742,448,5264
2770.016247321,416,5264
2770.017767659,432,5296
2770.019286627,416,5280
2770.020811762,432,5280
2770.022334323,400,5280
2770.023860883,432,5264
2770.025388166,432,5280
2770.026907634,416,5280
2770.028428602,416,5280
2770.0299512,416,5280
2770.031476186,416,5280
2770.033004025,432,5296
2770.034529752,416,5280
2770.036053572,416,5264
